TABLE "irys"
ATTRIBUTES 3
 "attr0" numeric 0
 "attr1" numeric 0
 "attr2" numeric 0
OBJECTS 150
51 35 14
49 30 14
47 32 13
46 31 15
50 36 14
54 39 17
46 34 14
50 34 15
44 29 14
49 31 15
54 37 15
48 34 16
48 30 14
43 30 11
58 40 12
57 44 15
54 39 13
51 35 14
57 38 17
51 38 15
54 34 17
51 37 15
46 36 10
51 33 17
48 34 19
50 30 16
50 34 16
52 35 15
52 34 14
47 32 16
48 31 16
54 34 15
52 41 15
55 42 14
49 31 15
50 32 12
55 35 13
49 31 15
44 30 13
51 34 15
50 35 13
45 23 13
44 32 13
50 35 16
51 38 19
48 30 14
51 38 16
46 32 14
53 37 15
50 33 14
70 32 47
64 32 45
69 31 49
55 23 40
65 28 46
57 28 45
63 33 47
49 24 33
66 29 46
52 27 39
50 20 35
59 30 42
60 22 40
61 29 47
56 29 36
67 31 44
56 30 45
58 27 41
62 22 45
56 25 39
59 32 48
61 28 40
63 25 49
61 28 47
64 29 43
66 30 44
68 28 48
67 30 50
60 29 45
57 26 35
55 24 38
55 24 37
58 27 39
60 27 51
54 30 45
60 34 45
67 31 47
63 23 44
56 30 41
55 25 40
55 26 44
61 30 46
58 26 40
50 23 33
56 27 42
57 30 42
57 29 42
62 29 43
51 25 30
57 28 41
63 33 60
58 27 51
71 30 59
63 29 56
65 30 58
76 30 66
49 25 45
73 29 63
67 25 58
72 36 61
65 32 51
64 27 53
68 30 55
57 25 50
58 28 51
64 32 53
65 30 55
77 38 67
77 26 69
60 22 50
69 32 57
56 28 49
77 28 67
63 27 49
67 33 57
72 32 60
62 28 48
61 30 49
64 28 56
72 30 58
74 28 61
79 38 64
64 28 56
63 28 51
61 26 56
77 30 61
63 34 56
64 31 55
60 30 48
69 31 54
67 31 56
69 31 51
58 27 51
68 32 59
67 33 57
67 30 52
63 25 50
65 30 52
62 34 54
59 30 51
